rollout/ep_rew_mean,time/iterations,train/entropy_loss,time/total_timesteps,train/policy_loss,time/time_elapsed,rollout/ep_len_mean,time/fps,train/n_updates,train/explained_variance,train/learning_rate,train/value_loss
-96.60727886000001,100,-6.467442035675049,12800,-99.93412017822266,25,26.01,503,99,-0.0009489059448242188,0.0003,1325.524658203125
-97.64946524999999,100,-6.286140441894531,12800,-78.20137023925781,25,26.27,507,227,-0.015767812728881836,0.0003,654.9856567382812
-93.62029247000002,100,-5.550784587860107,12800,6.726771831512451,27,23.43,463,355,0.4625566005706787,0.0003,32.272193908691406
-85.54955128,100,-2.9672629833221436,12800,2.829465866088867,28,18.62,452,483,0.9578533619642258,0.0003,3.090111255645752
-84.93573069,100,-3.1453123092651367,12800,2.855008602142334,28,18.5,449,611,0.9693268164992332,0.0003,2.3509860038757324
-85.01336387999999,100,-1.8484346866607666,12800,1.9848872423171997,30,18.29,426,739,0.9857185250148177,0.0003,1.2585145235061646
-84.29856812999998,100,-0.3894940912723541,12800,0.6876010894775391,31,18.76,408,867,0.9539974480867386,0.0003,3.389575958251953
-84.39945646,100,-0.2915712893009186,12800,0.16156896948814392,29,18.65,432,995,0.9675086997449398,0.0003,2.387430429458618
-84.46132836999999,100,-0.5649954080581665,12800,1.5727545022964478,31,18.58,410,1123,0.9695174917578697,0.0003,3.139476776123047
-84.38177878,100,-0.16031286120414734,12800,0.23599368333816528,30,18.67,421,1251,0.9511581920087337,0.0003,3.5046844482421875
-84.43481189,100,-0.04911446198821068,12800,0.04162844270467758,34,18.61,371,1379,0.9743909128010273,0.0003,1.9025516510009766
-84.43481180999999,100,-0.04725254699587822,12800,0.026696564629673958,30,18.61,422,1507,0.9717210568487644,0.0003,0.9187699556350708
-84.41713414,100,-0.06011606380343437,12800,0.05401633307337761,32,18.63,394,1635,0.9861370762810111,0.0003,1.0779221057891846
-84.39061767,100,-0.03301668539643288,12800,0.005048542749136686,33,18.66,384,1763,0.9839686676859856,0.0003,1.4093996286392212
-84.32874583,100,-0.032624032348394394,12800,-0.002931558061391115,31,18.73,405,1891,0.9612810052931309,0.0003,4.229189395904541
-84.67346035,100,-0.019515981897711754,12800,-0.05169658735394478,35,18.34,363,2019,0.9872117890045047,0.0003,0.8737197518348694
-84.36410113,100,-0.029879281297326088,12800,-0.10763759911060333,42,18.69,299,2147,0.9856760343536735,0.0003,0.965853750705719
-84.22267979999998,100,-0.02391372062265873,12800,0.0036557663697749376,38,18.85,331,2275,0.9781713355332613,0.0003,2.6712424755096436
-84.31990692,100,-0.007606870494782925,12800,0.0005584462778642774,35,18.74,358,2403,0.9863272458314896,0.0003,0.8266783356666565
-84.54971669999998,100,-0.0038326468784362078,12800,-0.00020133316866122186,40,18.48,312,2531,0.9788260906934738,0.0003,3.229032039642334
-84.51436130999998,100,-0.0021558671724051237,12800,0.0002053917560260743,43,18.52,294,2659,0.9915312612429261,0.0003,0.9518821239471436
-84.31990696000001,100,-0.0016457419842481613,12800,0.00010431072587380186,32,18.74,393,2787,0.962322574108839,0.0003,1.7519407272338867
-84.41713415999999,100,-0.0013785260962322354,12800,1.5391482520499267e-05,30,18.63,424,2915,0.9949348820373416,0.0003,0.964740514755249
-84.33758464,100,-0.0008766683167777956,12800,-8.637323844595812e-06,32,18.72,393,3043,0.9664228968322277,0.0003,2.7792556285858154
-84.35526223999999,100,-0.0007457643514499068,12800,0.00010518169438000768,24,18.7,516,3171,0.987492848187685,0.0003,3.4229910373687744
