time/iterations,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/loss,train/learning_rate,train/value_loss,train/n_updates,train/explained_variance,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/entropy_loss,train/clip_range
1,1024,0,1467,-99.51309471999998,34.84,,,,,,,,,,
2,2048,3,602,-99.52395244827586,32.793103448275865,512.0606689453125,0.0003,1599.5646572113037,10,0.0019814372062683105,0.51328125,0.046021007,0.02236457256949507,-9.799143332242966,0.2
3,3072,6,509,-99.21830653333333,32.733333333333334,305.41326904296875,0.0003,1042.9702438354493,20,-0.00011754035949707031,0.35634765625,0.03916797,0.005369471322046593,-9.80191404223442,0.2
4,4096,8,468,-100.24410751,32.84,59.59202575683594,0.0003,237.40298500061036,30,0.14229923486709595,0.4373046875,0.037881423,0.014613596876733937,-9.746771049499511,0.2
5,5120,11,441,-99.84980489000002,33.04,18.917469024658203,0.0003,56.78901671171188,40,0.5753550231456757,0.40458984375,0.04019191,0.002796977059915662,-9.709623515605927,0.2
6,6144,14,432,-100.86419107000002,33.33,8.347631454467773,0.0003,25.065675032138824,50,0.738165408372879,0.380078125,0.036774017,-0.013577347487444057,-9.641765218973159,0.2
7,7168,16,425,-98.91316628999999,33.71,7.834230422973633,0.0003,24.880905556678773,60,0.39586228132247925,0.38447265625,0.033925764,-0.01405295096919872,-9.60095751285553,0.2
8,8192,19,420,-98.01107101000001,33.01,5.333462715148926,0.0003,15.355117815732957,70,0.7798031866550446,0.3380859375,0.02911956,-0.015418123110430315,-9.572311747074128,0.2
9,9216,22,416,-97.98240904999999,33.65,4.565274715423584,0.0003,12.395490828156472,80,0.7637385278940201,0.36298828125,0.031624496,-0.014914945908822119,-9.495857989788055,0.2
10,10240,24,413,-99.20145338,33.54,5.833559989929199,0.0003,11.028916996717452,90,0.7868045270442963,0.33203125,0.030244494,-0.020177835773210973,-9.474152517318725,0.2
11,11264,27,411,-100.89186061000001,33.48,4.634008407592773,0.0003,10.616052103042602,100,0.7048524022102356,0.3626953125,0.03897316,-0.020048594643594698,-9.44257868528366,0.2
12,12288,30,409,-100.76000959,34.11,4.767035007476807,0.0003,10.76799587905407,110,0.7358784973621368,0.36318359375,0.032164734,-0.015999457976431587,-9.4531653881073,0.2
13,13312,32,407,-99.66678424,32.56,3.1804051399230957,0.0003,10.05436493754387,120,0.8200116008520126,0.347265625,0.03492614,-0.017688849294790997,-9.416107839345932,0.2
14,14336,35,406,-98.11225965999998,31.82,3.969027280807495,0.0003,10.741752907633781,130,0.8069861680269241,0.320703125,0.030305801,-0.017507998942164704,-9.44135598540306,0.2
15,15360,37,404,-97.90396038,31.92,4.296719551086426,0.0003,12.264301607012749,140,0.741523027420044,0.37314453125,0.03894052,-0.019365202778135426,-9.307781928777695,0.2
16,16384,40,403,-97.34038264,32.6,3.572632312774658,0.0003,9.425896763801575,150,0.821270763874054,0.3650390625,0.032101683,-0.017117462007445284,-9.32040154337883,0.2
1,1024,0,2515,-101.43227360714286,32.035714285714285,5.213401794433594,0.0003,8.679854862391949,160,0.7975469678640366,0.35380859375,0.034643933,-0.011360597275779583,-9.312563788890838,0.2
2,2048,3,648,-99.4682726779661,32.40677966101695,2.632688283920288,0.0003,7.507160674035549,170,0.697676956653595,0.3998046875,0.039336644,-0.02443557573715225,-9.241097551584243,0.2
3,3072,6,494,-98.70047054444444,33.21111111111111,1.867358922958374,0.0003,9.40521461069584,180,0.7583725899457932,0.3400390625,0.0322023,-0.01217584327678196,-9.193352127075196,0.2
4,4096,9,442,-98.8379172,33.87,1.8799277544021606,0.0003,5.929979456961155,190,0.8717105686664581,0.3775390625,0.03396651,-0.02302296777488664,-9.139400368928909,0.2
5,5120,12,422,-99.15603262,33.7,1.9294154644012451,0.0003,8.463892477750779,200,0.7700553387403488,0.40234375,0.043571666,-0.019006260132300667,-9.074038255214692,0.2
6,6144,14,415,-99.51129513,33.53,3.035127878189087,0.0003,5.783917345106602,210,0.8315807431936264,0.404296875,0.040097885,-0.016025628033094107,-8.996829688549042,0.2
7,7168,17,402,-98.80184867,32.26,2.443176746368408,0.0003,9.679933579266072,220,0.6546352803707123,0.38994140625,0.04543607,-0.014487178175477311,-8.999468702077866,0.2
8,8192,20,398,-99.27294525999997,32.74,3.2828586101531982,0.0003,10.597305482625961,230,0.7596368938684464,0.3525390625,0.03594733,-0.010798090536263771,-8.951208138465882,0.2
9,9216,23,394,-99.07466712999998,32.29,3.1444356441497803,0.0003,10.095143008232117,240,0.541222482919693,0.37451171875,0.035289217,-0.010576837259577587,-8.909867936372757,0.2
10,10240,26,393,-98.94497908000001,33.92,2.62404727935791,0.0003,7.370687536895275,250,0.7342101335525513,0.373046875,0.038456086,-0.017541307970532216,-8.887163907289505,0.2
11,11264,28,389,-98.30699648,32.95,2.7974393367767334,0.0003,9.316962076723575,260,0.7415596842765808,0.38056640625,0.03850195,-0.0165176410053391,-8.897766095399856,0.2
12,12288,31,385,-97.70850794000002,32.91,6.151193618774414,0.0003,10.293345087766648,270,0.7678797394037247,0.35634765625,0.0359306,-0.016643097615451553,-8.768420571088791,0.2
