time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/time_elapsed,time/fps,train/value_loss,train/loss,train/policy_gradient_loss,train/entropy_loss,train/n_updates,train/approx_kl,train/learning_rate,train/explained_variance,train/clip_range,train/clip_fraction
256,-99.16994712500001,25.625,1,0,1153,,,,,,,,,,
512,-99.3575810625,25.625,2,1,262,2283.0345245361327,1128.65673828125,-0.032601304911077024,-7.063413500785828,10,0.030777603,0.0003,-0.0018788576126098633,0.2,0.40859375
768,-98.77842968,25.6,3,3,209,1968.573190307617,851.1185913085938,-0.014565056632272899,-7.026927375793457,20,0.027770778,0.0003,-0.004372000694274902,0.2,0.31875
1024,-98.57156400000001,26.13888888888889,4,5,187,1732.7064971923828,972.6177978515625,-0.026532442774623632,-7.02393491268158,30,0.030428555,0.0003,-0.0029665231704711914,0.2,0.35390625
1280,-98.94917346666669,26.4,5,7,173,1809.1086029052735,1023.4392700195312,-0.027020915993489325,-7.005239534378052,40,0.020972494,0.0003,-0.020465612411499023,0.2,0.262109375
1536,-99.66121256363635,27.0,6,9,167,1324.177165222168,535.3326416015625,-0.021032454422675075,-6.974183809757233,50,0.024600962,0.0003,0.009219706058502197,0.2,0.266015625
1792,-99.61205398387092,27.080645161290324,7,10,165,1093.4654556274413,442.5027770996094,-0.025049070676323025,-6.947288990020752,60,0.026730664,0.0003,-0.016003847122192383,0.2,0.24140625
2048,-99.4437475,27.180555555555557,8,12,163,571.505477142334,232.9326629638672,-0.026194051187485457,-6.971221232414246,70,0.03287572,0.0003,-0.006268858909606934,0.2,0.31796875
2304,-99.37299749382717,27.037037037037038,9,14,161,392.3147716522217,122.56298828125,-0.029382558632642032,-6.920682752132416,80,0.031397507,0.0003,-0.001798391342163086,0.2,0.318359375
2560,-99.49026919780222,27.0,10,16,159,174.5123643875122,54.30174255371094,-0.0315977914724499,-6.870813608169556,90,0.054969005,0.0003,0.015750110149383545,0.2,0.41171875
2816,-99.47610834999999,26.91,11,17,158,61.871149682998656,15.7730131149292,-0.03262829917948693,-6.816961634159088,100,0.03795184,0.0003,0.2871779799461365,0.2,0.378125
3072,-99.30438031,26.91,12,19,155,21.30278959274292,7.633389472961426,-0.015790580958127975,-6.784301340579987,110,0.05733044,0.0003,0.830514207482338,0.2,0.36484375
3328,-99.41565291,26.86,13,21,153,20.39675381183624,7.079402923583984,-0.026583961688447743,-6.777575755119324,120,0.051512755,0.0003,0.6905690133571625,0.2,0.448046875
3584,-99.2922556,26.75,14,23,152,12.490233373641967,4.550167083740234,-0.04420207254588604,-6.701497197151184,130,0.07143534,0.0003,0.7410171031951904,0.2,0.488671875
3840,-99.52242779999997,26.76,15,25,151,7.980043184757233,3.0900607109069824,-0.04726704293861985,-6.714537787437439,140,0.05210442,0.0003,0.7911486327648163,0.2,0.505859375
4096,-98.99998310999999,26.55,16,27,150,5.518732643127441,1.4636836051940918,-0.048770887614227834,-6.573833560943603,150,0.0719814,0.0003,0.8584525287151337,0.2,0.51953125
4352,-98.69874003000001,26.2,17,28,150,6.673518484830856,2.6135175228118896,-0.04438680489547551,-6.544265532493592,160,0.06623511,0.0003,0.8370373249053955,0.2,0.518359375
4608,-98.45119315,25.78,18,30,150,7.3557718873023985,2.439448595046997,-0.03583884108811617,-6.544531762599945,170,0.07233981,0.0003,0.8083564639091492,0.2,0.417578125
4864,-98.00742937999999,25.58,19,32,150,4.601822650432586,1.344801664352417,-0.046411891060415655,-6.528279268741608,180,0.053873472,0.0003,0.8159294277429581,0.2,0.421484375
5120,-97.58258233999997,25.5,20,34,150,15.374632835388184,4.697408199310303,-0.0409908858127892,-6.358809876441955,190,0.06041368,0.0003,0.7194125056266785,0.2,0.4578125
5376,-97.16514608999998,25.36,21,35,150,4.506647044420243,2.7202086448669434,-0.04093328304588795,-6.381395888328552,200,0.05513628,0.0003,0.9161034971475601,0.2,0.42265625
5632,-97.07627406999998,25.17,22,37,150,8.154475176334381,2.539210081100464,-0.036491719610057774,-6.328510403633118,210,0.062125407,0.0003,0.8389353454113007,0.2,0.444140625
5888,-96.84219389999998,25.11,23,39,149,3.9311713695526125,1.2979021072387695,-0.020709886122494935,-6.3680726289749146,220,0.052235886,0.0003,0.9350869059562683,0.2,0.44921875
6144,-97.07531563000002,25.02,24,41,149,6.253788423538208,2.7083375453948975,-0.04060894164722413,-6.2348394870758055,230,0.06287752,0.0003,0.8158105313777924,0.2,0.454296875
6400,-96.28871037,24.58,25,43,148,2.7659844756126404,1.7270604372024536,-0.055040424200706185,-5.982585096359253,240,0.07874893,0.0003,0.9432881139218807,0.2,0.5296875
6656,-95.98448589999998,24.28,26,45,147,4.803829222917557,1.9745416641235352,-0.03470641055610031,-5.934236097335815,250,0.050473236,0.0003,0.9127952679991722,0.2,0.495703125
6912,-95.43340115000001,24.38,27,47,147,8.55156192779541,1.770200252532959,-0.026783595234155654,-5.899922358989715,260,0.059752695,0.0003,0.8308663666248322,0.2,0.40078125
7168,-95.34563854,24.43,28,48,146,26.42611222267151,8.749828338623047,-0.02934911334887147,-5.936760306358337,270,0.05831654,0.0003,0.48152071237564087,0.2,0.388671875
7424,-95.14420718,24.09,29,50,146,10.051833093166351,4.0818562507629395,-0.041413634084165096,-5.828199851512909,280,0.07080978,0.0003,0.65340256690979,0.2,0.416015625
7680,-94.40090498,23.78,30,52,147,2.4870227932929994,1.0270211696624756,-0.023023682273924352,-5.630253469944,290,0.07129208,0.0003,0.9549344778060913,0.2,0.441796875
